student_id,student_name,birth_date,grade_level,school_name,barangay,math_score,english_score,science_score,attendance_rate
STU-300982,Daniel Ball,2013-08-14,Grade 10,Mabini Integrated School,Bayanihan,77.0,90.0,51.0,0.93
STU-300709,Christopher Gutierrez,2016-03-26,Grade 10,Mabini Integrated School,San Miguel,76.0,69.0,82.0,1.0
STU-300301,Julia Kelly,2016-11-11,Grade 8,Rizal Elementary School,Del Pilar,96.0,91.0,76.0,0.85
STU-300211,Toni Baker,2017-01-02,Grade 7,San Isidro Elementary School,San Isidro,71.0,75.0,56.0,0.86
STU-300698,Patricia Huffman,2008-12-23,Grade 6,Poblacion National High School,Magsaysay,74.0,97.0,56.0,0.87
STU-300671,Cory Chapman,2013-05-31,Grade 2,Mabini Integrated School,Bayanihan,79.0,83.0,82.0,0.86
STU-300734,Nicole Krause,2010-08-31,Grade 6,Poblacion National High School,San Miguel,86.0,68.0,74.0,0.92
STU-300882,Brandon Mclean,2019-03-30,Grade 3,Poblacion National High School,San Isidro,73.0,78.0,79.0,0.95
STU-300697,Thomas Hayes,2009-09-06,Grade 4,Rizal Elementary School,Sta. Cruz,72.0,85.0,82.0,0.91
STU-300809,Jose Franco,2013-04-13,Grade 10,Poblacion National High School,Bagong Silang,68.0,69.0,100.0,0.9
STU-300913,Jerome Cortez,2012-02-09,Grade 4,Poblacion National High School,San Jose,81.0,66.0,82.0,0.9
STU-300767,Brian Osborne,2009-04-23,Grade 3,Mabini Integrated School,Maligaya,79.0,80.0,76.0,0.94
STU-300403,Joshua Washington,2017-05-20,Grade 2,Poblacion National High School,Mabini,82.0,67.0,55.0,0.98
STU-300763,Gilbert Wilson,2017-12-16,Grade 6,Poblacion National High School,Maligaya,89.0,86.0,93.0,0.9
STU-300654,Chad Pennington,2018-09-14,Grade 8,Mabini Integrated School,Mabini,75.0,84.0,90.0,0.81
STU-300706,Manuel Sanchez,2021-01-27,Grade 2,Mabini Integrated School,Maligaya,81.0,75.0,89.0,0.88
STU-300495,Robert Russell,2014-05-18,Grade 7,San Isidro Elementary School,Sta. Cruz,64.0,76.0,86.0,0.87
STU-300538,Dale Glenn,2012-01-04,Grade 4,Mabini Integrated School,Maligaya,82.0,75.0,79.0,0.92
STU-300015,Andrea Hayes,2014-01-11,Grade 5,San Isidro Elementary School,San Miguel,82.0,79.0,66.0,0.85
STU-300834,James Evans,2016-12-12,Grade 1,Mabini Integrated School,Rizal,94.0,86.0,67.0,0.97
STU-300931,Jacqueline Burch,2011-12-18,Grade 7,Mabini Integrated School,Magsaysay,85.0,76.0,95.0,1.0
STU-300436,Amanda Holden,2014-06-19,Grade 8,Rizal Elementary School,San Miguel,66.0,64.0,79.0,0.84
STU-300101,Sheila Johnson,2018-12-05,Grade 5,Poblacion National High School,Magsaysay,,,,
STU-300374,Lisa Moore,2011-11-24,Grade 6,Poblacion National High School,Sta. Cruz,632.0,648.0,624.0,7.36
STU-300451,Karen Nelson MD,2015-02-07,Grade 3,Mabini Integrated School,San Isidro,93.0,76.0,64.0,0.89
STU-300541,Brandi Barry,2012-04-06,Grade 5,San Isidro Elementary School,Bayanihan,66.0,83.0,77.0,1.0
STU-300299,Mary Chandler,2014-10-11,Grade 4,San Isidro Elementary School,San Jose,,,,
STU-300891,Samuel Fields,2019-11-10,Grade 2,Poblacion National High School,San Isidro,80.0,70.0,73.0,0.98
STU-300262,Christopher Carson,2015-12-03,Grade 4,Mabini Integrated School,Magsaysay,632.0,648.0,624.0,7.36
STU-300725,Leslie Brown,2012-05-28,Grade 2,Poblacion National High School,Bagong Silang,64.0,79.0,65.0,0.9
STU-300828,Danielle Nguyen,2020-08-03,Grade 5,San Isidro Elementary School,Bayanihan,93.0,80.0,62.0,0.91
STU-300174,Christine Hutchinson,2009-01-07,Grade 6,Mabini Integrated School,Sta. Cruz,,,,
STU-300467,James Fischer,2011-10-04,Grade 2,Mabini Integrated School,Mabini,78.0,69.0,76.0,0.85
STU-300896,Eric Chandler,2021-01-30,Grade 4,Mabini Integrated School,Magsaysay,72.0,74.0,100.0,1.0
STU-300459,Hailey Oneal,2011-07-12,Grade 1,Poblacion National High School,San Jose,85.0,78.0,64.0,0.98
STU-300344,Sara Sanchez,2008-03-31,Grade 1,Mabini Integrated School,San Jose,69.0,67.0,80.0,0.9
STU-300753,Robert Wright,2006-02-17,Grade 7,Rizal Elementary School,Magsaysay,66.0,86.0,73.0,0.85
STU-300468,Traci Welch,2020-05-30,Grade 7,Rizal Elementary School,Sta. Cruz,85.0,67.0,81.0,0.84
STU-300798,Emma Parrish,2008-04-10,Grade 3,Poblacion National High School,Sta. Cruz,78.0,90.0,84.0,0.86
STU-300966,Brittany Romero,2019-12-20,Grade 7,San Isidro Elementary School,Bagong Silang,87.0,82.0,74.0,0.86
STU-300619,Melanie Parker,2013-02-11,Grade 3,Rizal Elementary School,Rizal,79.0,79.0,68.0,0.93
STU-300715,Gerald Odom,2013-08-04,Grade 9,Poblacion National High School,Bagong Silang,100.0,85.0,75.0,0.85
STU-300909,Angela King,2015-07-15,Grade 8,Rizal Elementary School,Bayanihan,69.0,63.0,90.0,0.93
STU-300453,Denise Smith,2009-09-02,Grade 7,Mabini Integrated School,Magsaysay,70.0,100.0,81.0,0.9
STU-300886,Kathryn Bartlett,2013-04-10,Grade 2,Rizal Elementary School,Del Pilar,64.0,82.0,90.0,0.94
STU-300786,Stephanie Valdez,2018-10-29,Grade 9,San Isidro Elementary School,Magsaysay,83.0,83.0,90.0,0.86
STU-300639,Lisa Anderson,2019-04-10,Grade 4,Rizal Elementary School,Bayanihan,89.0,76.0,64.0,0.85
STU-300659,Kelly Ferguson,2006-03-12,Grade 10,Mabini Integrated School,Bagong Silang,69.0,57.0,75.0,0.84
STU-300507,Amanda White DDS,2008-12-19,Grade 1,Mabini Integrated School,Maligaya,80.0,70.0,79.0,0.98
STU-300638,Patrick Santiago,2009-09-14,Grade 8,Mabini Integrated School,San Isidro,57.0,73.0,89.0,0.9
STU-300813,Denise Meyer,2006-09-27,Grade 1,Mabini Integrated School,Bayanihan,88.0,85.0,71.0,0.89
STU-300866,Lisa Roberts,2007-02-17,Grade 4,Mabini Integrated School,San Jose,68.0,96.0,68.0,0.84
STU-300826,Kristi Johnson,2020-03-29,Grade 10,San Isidro Elementary School,Sta. Cruz,77.0,70.0,71.0,0.91
STU-300747,Jennifer White,2006-02-17,Grade 10,Mabini Integrated School,Maligaya,92.0,100.0,82.0,0.92
STU-300780,Sean Lewis,2012-07-04,Grade 3,Mabini Integrated School,Sta. Cruz,67.0,65.0,80.0,0.96
STU-300743,Stefanie Lopez,2016-10-14,Grade 1,Poblacion National High School,Bagong Silang,85.0,74.0,94.0,0.93
STU-300727,Brianna Hill,2009-08-25,Grade 3,Mabini Integrated School,San Isidro,84.0,83.0,96.0,0.93
STU-300710,Christopher Trujillo,2009-01-20,Grade 6,Mabini Integrated School,Poblacion,85.0,86.0,84.0,0.98
STU-300951,Tom Smith,2013-11-15,Grade 6,Rizal Elementary School,Mabini,66.0,67.0,73.0,0.92
STU-300869,Ernest Brown,2019-12-01,Grade 4,Mabini Integrated School,Poblacion,81.0,82.0,50.0,0.86
STU-300135,James Farmer,2013-04-19,Grade 2,Poblacion National High School,Del Pilar,71.0,100.0,74.0,0.95
STU-300636,Stephen Blankenship,2016-06-28,Grade 5,Rizal Elementary School,San Jose,,,,
STU-300788,Nicholas Stewart,2013-07-24,Grade 6,Mabini Integrated School,Poblacion,90.0,80.0,77.0,0.83
STU-300247,Susan Moore,2020-10-17,Grade 6,San Isidro Elementary School,Del Pilar,100.0,83.0,66.0,0.86
STU-300319,Patrick Bennett,2019-12-28,Grade 7,San Isidro Elementary School,San Isidro,,,,
STU-300305,Ronald Aguirre,2019-07-21,Grade 1,Rizal Elementary School,San Miguel,57.0,79.0,82.0,0.97
STU-300375,Samantha Johnson,2011-09-23,Grade 6,Poblacion National High School,Poblacion,67.0,87.0,71.0,0.89
STU-300856,Paul White,2018-06-01,Grade 3,Mabini Integrated School,Mabini,91.0,78.0,72.0,0.89
STU-300972,Rachel Farmer,2009-02-28,Grade 1,San Isidro Elementary School,Poblacion,100.0,85.0,55.0,0.95
STU-300542,Thomas Thomas,2008-04-14,Grade 8,San Isidro Elementary School,Rizal,77.0,81.0,70.0,0.88
STU-300675,Joseph Dennis,2015-07-22,Grade 7,Rizal Elementary School,Rizal,84.0,79.0,80.0,0.9
STU-300755,Alex Williams,2015-11-14,Grade 9,Mabini Integrated School,San Miguel,89.0,74.0,82.0,0.9
STU-300625,Ms. Emily Davis DDS,2016-11-27,Grade 6,San Isidro Elementary School,Bayanihan,84.0,64.0,67.0,0.92
STU-300397,Timothy Coleman,2006-11-29,Grade 3,San Isidro Elementary School,San Jose,80.0,82.0,100.0,0.86
STU-300146,Richard Lopez,2011-12-22,Grade 2,Poblacion National High School,San Isidro,83.0,78.0,94.0,0.97
STU-300633,Christina Jimenez,2009-10-24,Grade 8,Mabini Integrated School,Del Pilar,67.0,96.0,90.0,1.0
STU-300814,Maria Evans,2009-12-22,Grade 3,Rizal Elementary School,Sta. Cruz,55.0,84.0,68.0,0.81
STU-300461,Brian Clarke,2020-05-11,Grade 10,Rizal Elementary School,Sta. Cruz,79.0,86.0,88.0,0.85
STU-300595,Brian Shaw,2020-10-15,Grade 5,Rizal Elementary School,Sta. Cruz,84.0,76.0,65.0,0.98
STU-300140,Brian Simmons,2018-11-20,Grade 4,Poblacion National High School,San Jose,81.0,74.0,69.0,0.84
STU-300901,Robert Kirby,2008-07-21,Grade 5,Poblacion National High School,Bagong Silang,,,,
STU-300957,Elizabeth Willis,2007-04-01,Grade 10,Rizal Elementary School,Bayanihan,93.0,77.0,79.0,0.92
STU-300702,Thomas Mills,2019-04-16,Grade 10,Rizal Elementary School,Poblacion,77.0,79.0,73.0,0.89
STU-300749,Brandon Thompson,2011-01-14,Grade 8,San Isidro Elementary School,Maligaya,85.0,92.0,96.0,0.94
STU-300954,Patricia Bentley,2015-06-25,Grade 4,Poblacion National High School,Rizal,76.0,78.0,82.0,0.96
STU-300026,Brenda Moore DVM,2015-12-26,Grade 3,Poblacion National High School,Magsaysay,100.0,86.0,73.0,0.89
STU-300155,Bryan Peterson,2014-03-01,Grade 5,Mabini Integrated School,Poblacion,82.0,82.0,81.0,0.94
STU-300889,Daniel Gonzalez,2019-06-21,Grade 4,Mabini Integrated School,Maligaya,76.0,61.0,78.0,0.95
STU-300580,Cindy Ramirez,2018-04-17,Grade 7,Mabini Integrated School,Bayanihan,67.0,95.0,72.0,0.96
STU-300682,Dana Chavez,2009-04-04,Grade 4,Rizal Elementary School,Sta. Cruz,76.0,92.0,68.0,0.86
STU-300685,Joseph Bailey,2007-05-26,Grade 5,Mabini Integrated School,Bagong Silang,65.0,75.0,84.0,0.94
STU-300649,Matthew Thomas,2007-01-20,Grade 10,Rizal Elementary School,Bayanihan,68.0,85.0,70.0,0.92
STU-300515,Andrea Mccann,2018-02-11,Grade 4,Rizal Elementary School,Bayanihan,91.0,64.0,96.0,0.89
STU-300578,Laurie Evans,2018-11-12,Grade 1,Mabini Integrated School,Rizal,69.0,86.0,70.0,0.84
STU-300099,Zachary Hooper,2020-05-19,Grade 7,Mabini Integrated School,Poblacion,79.0,65.0,88.0,0.91
STU-300853,Brittney Gordon,2005-11-23,Grade 6,Rizal Elementary School,San Miguel,66.0,84.0,79.0,0.91
STU-300898,Steven Robinson,2012-07-01,Grade 10,Poblacion National High School,Poblacion,66.0,69.0,84.0,0.85
STU-300166,Laura Todd,2010-09-08,Grade 7,Rizal Elementary School,Bagong Silang,83.0,74.0,67.0,0.9
STU-300873,Paul Maldonado,2018-05-15,Grade 4,Rizal Elementary School,Bayanihan,76.0,81.0,80.0,0.88
STU-300023,Martin Williams,2020-07-29,Grade 7,Poblacion National High School,Mabini,79.0,86.0,85.0,0.87
STU-300552,Robin Hernandez,2018-11-06,Grade 2,Poblacion National High School,San Isidro,91.0,61.0,77.0,0.99
STU-300204,Timothy Nichols Jr.,2008-10-25,Grade 4,Rizal Elementary School,San Isidro,83.0,68.0,78.0,0.84
STU-300033,Travis Greene,2019-02-18,Grade 2,San Isidro Elementary School,Mabini,73.0,63.0,84.0,0.9
STU-300242,Natalie Smith,2020-10-09,Grade 10,Mabini Integrated School,San Jose,84.0,76.0,77.0,0.88
STU-300565,Matthew White,2009-11-18,Grade 1,Mabini Integrated School,Mabini,66.0,83.0,75.0,0.97
STU-300370,John Barnett,2019-03-18,Grade 3,San Isidro Elementary School,Poblacion,,,,
STU-300635,Sarah Griffith,2011-10-09,Grade 5,Poblacion National High School,Maligaya,94.0,93.0,81.0,0.93
STU-300947,Juan Nicholson,2006-06-14,Grade 2,San Isidro Elementary School,Poblacion,,,,
STU-300660,Brittany Molina,2008-11-02,Grade 10,Mabini Integrated School,Del Pilar,,,,
STU-300009,Christina Chavez,2014-03-18,Grade 9,Rizal Elementary School,Poblacion,78.0,93.0,69.0,0.93
STU-300010,Matthew Sawyer,2010-02-18,Grade 1,San Isidro Elementary School,Bayanihan,76.0,65.0,94.0,0.97
STU-300079,Jennifer Thomas,2017-01-27,Grade 7,San Isidro Elementary School,Maligaya,82.0,74.0,74.0,0.88
STU-300964,Bradley Elliott,2008-12-15,Grade 9,Mabini Integrated School,San Jose,74.0,73.0,61.0,0.86
STU-300350,Kathy Spencer,2013-08-15,Grade 4,Poblacion National High School,San Isidro,78.0,75.0,83.0,0.91
STU-300118,Shannon Nunez,2019-09-03,Grade 8,Mabini Integrated School,Rizal,86.0,79.0,61.0,0.97
STU-300935,Brian Herrera,2006-01-15,Grade 5,Poblacion National High School,San Miguel,77.0,75.0,82.0,0.83
STU-300234,Mariah Fitzgerald,2015-07-20,Grade 10,Rizal Elementary School,Bagong Silang,46.0,85.0,77.0,0.94
STU-300520,Randy Brown,2012-05-14,Grade 1,Poblacion National High School,Maligaya,86.0,76.0,66.0,0.99
STU-300907,Lisa Johnston,2006-02-07,Grade 4,Rizal Elementary School,Mabini,92.0,75.0,64.0,0.84
STU-300289,Alexandria Ellis,2011-08-16,Grade 5,Mabini Integrated School,Mabini,100.0,88.0,86.0,0.92
STU-300216,Thomas Jones,2017-02-10,Grade 10,San Isidro Elementary School,Bagong Silang,88.0,81.0,92.0,0.85
STU-300049,Stephen Moore MD,2016-02-15,Grade 10,Mabini Integrated School,Rizal,100.0,66.0,68.0,1.0
STU-300500,Richard Rodriguez,2019-08-30,Grade 9,Poblacion National High School,Del Pilar,72.0,75.0,88.0,0.78
STU-300930,April Bailey,2010-08-14,Grade 2,San Isidro Elementary School,San Jose,58.0,100.0,81.0,0.97
STU-300894,Tina Thompson,2012-05-05,Grade 6,Poblacion National High School,Magsaysay,79.0,70.0,100.0,0.91
STU-300493,Shawn Nguyen,2020-12-18,Grade 7,Mabini Integrated School,Magsaysay,85.0,87.0,53.0,0.92
STU-300609,Ricardo Marshall,2015-10-29,Grade 4,Rizal Elementary School,Mabini,86.0,64.0,69.0,0.92
STU-300144,Debra Carlson,2007-01-11,Grade 1,Poblacion National High School,Mabini,78.0,81.0,80.0,0.88
STU-300474,Joseph Chapman,2019-06-27,Grade 2,San Isidro Elementary School,Del Pilar,99.0,70.0,80.0,0.85
STU-300686,Matthew Lozano PhD,2016-12-12,Grade 2,Rizal Elementary School,San Miguel,92.0,83.0,86.0,0.95
STU-300992,Jennifer Robbins,2014-11-27,Grade 9,San Isidro Elementary School,Del Pilar,84.0,61.0,69.0,0.78
STU-300333,Lauren Cooper,2010-06-17,Grade 8,Rizal Elementary School,Del Pilar,99.0,95.0,65.0,0.87
STU-300112,Jason Simmons,2012-08-15,Grade 2,San Isidro Elementary School,Bagong Silang,64.0,74.0,87.0,0.84
STU-300732,Katherine Weber,2020-02-08,Grade 2,Poblacion National High School,Bayanihan,90.0,71.0,70.0,1.0
STU-300549,Jennifer Young,2016-04-05,Grade 3,Poblacion National High School,Maligaya,,,,
STU-300360,John Morris Jr.,2012-12-16,Grade 3,Rizal Elementary School,Magsaysay,92.0,82.0,78.0,1.0
STU-300668,Jose Carr,2016-05-26,Grade 6,Rizal Elementary School,Magsaysay,64.0,85.0,85.0,0.96
STU-300407,Carol Larsen,2015-08-03,Grade 2,Poblacion National High School,Poblacion,79.0,85.0,78.0,0.97
STU-300338,Rachel Brock,2005-07-01,Grade 5,Poblacion National High School,Maligaya,78.0,85.0,63.0,1.0
STU-300701,Mike Bautista,2011-11-04,Grade 7,Mabini Integrated School,Magsaysay,77.0,65.0,90.0,0.95
STU-300937,Roberto Harris,2011-07-11,Grade 8,San Isidro Elementary School,Del Pilar,77.0,79.0,65.0,0.88
STU-300644,Jacqueline Perez,2007-04-10,Grade 10,Rizal Elementary School,Maligaya,71.0,64.0,70.0,0.95
STU-300594,Carlos Bell,2008-03-23,Grade 1,Rizal Elementary School,Magsaysay,95.0,82.0,100.0,0.94
STU-300351,Todd Black,2007-04-24,Grade 4,Rizal Elementary School,Magsaysay,82.0,87.0,83.0,0.97
STU-300673,Todd Peterson,2019-12-01,Grade 7,Rizal Elementary School,Rizal,88.0,74.0,65.0,0.94
STU-300463,Timothy Johnston,2007-12-10,Grade 7,Mabini Integrated School,San Jose,78.0,92.0,66.0,1.0
STU-300462,Danielle Bridges,2012-04-17,Grade 8,Poblacion National High School,Del Pilar,88.0,86.0,70.0,0.91
STU-300420,Philip Lewis,2012-07-13,Grade 7,San Isidro Elementary School,San Miguel,77.0,75.0,68.0,0.97
STU-300618,Carla Mcguire,2009-05-07,Grade 8,Rizal Elementary School,Poblacion,86.0,63.0,64.0,0.94
STU-300322,Richard Lucas,2014-12-10,Grade 9,Mabini Integrated School,Poblacion,87.0,89.0,97.0,0.89
STU-300728,Kelli Hanson,2010-02-21,Grade 7,Mabini Integrated School,Sta. Cruz,74.0,71.0,78.0,0.8
STU-300438,Mathew Suarez,2009-03-09,Grade 8,Rizal Elementary School,Mabini,71.0,80.0,55.0,0.97
STU-300854,Alyssa Crosby,2015-12-23,Grade 10,Rizal Elementary School,Rizal,61.0,87.0,75.0,0.91
STU-300183,Kristina Smith,2011-12-02,Grade 4,San Isidro Elementary School,San Jose,65.0,87.0,74.0,0.91
STU-300367,Bruce Kelley DDS,2017-03-08,Grade 2,Poblacion National High School,Sta. Cruz,76.0,79.0,65.0,0.92
STU-300890,Justin Thompson,2011-03-20,Grade 1,Poblacion National High School,Bayanihan,79.0,81.0,84.0,0.95
STU-300342,Albert Lambert,2013-07-16,Grade 6,Poblacion National High School,San Jose,88.0,81.0,88.0,0.83
STU-300306,Emily Salazar,2015-02-21,Grade 8,Poblacion National High School,Poblacion,100.0,92.0,88.0,0.99
STU-300217,William Ward,2010-01-06,Grade 3,Mabini Integrated School,Bagong Silang,82.0,88.0,56.0,0.85
STU-300970,Keith Gallagher,2019-04-30,Grade 8,Mabini Integrated School,Sta. Cruz,58.0,92.0,74.0,0.84
STU-300037,Richard Hicks,2014-04-24,Grade 8,Mabini Integrated School,Maligaya,66.0,82.0,97.0,0.97
STU-300313,Robert Sanders,2005-06-18,Grade 6,Poblacion National High School,Rizal,88.0,84.0,82.0,0.96
STU-300583,Alan Williams,2018-07-21,Grade 8,Poblacion National High School,Magsaysay,78.0,83.0,81.0,0.97
STU-300188,Sandra Davis,2011-09-11,Grade 7,Poblacion National High School,San Isidro,78.0,79.0,75.0,0.92
STU-300481,Dustin Meza,2016-11-13,Grade 10,Poblacion National High School,Maligaya,46.0,82.0,75.0,0.9
STU-300036,Patricia Harrison,2008-10-20,Grade 4,San Isidro Elementary School,San Miguel,67.0,96.0,64.0,0.87
STU-300899,Ricardo Johnson,2006-01-19,Grade 4,Poblacion National High School,Bayanihan,,,,
STU-300770,Paul Taylor,2012-08-05,Grade 10,Mabini Integrated School,San Isidro,78.0,84.0,70.0,0.87
STU-300870,Nicole Watson,2019-03-23,Grade 9,Mabini Integrated School,Magsaysay,67.0,81.0,83.0,0.95
STU-300522,Sarah Allen,2020-05-29,Grade 4,Poblacion National High School,Bagong Silang,65.0,79.0,84.0,0.99
STU-300478,Bailey Oneal,2006-07-10,Grade 7,Poblacion National High School,San Isidro,70.0,82.0,68.0,0.98
STU-300233,Sharon Gardner,2012-03-21,Grade 5,Poblacion National High School,San Isidro,77.0,82.0,77.0,0.9
STU-300102,Deborah Walsh,2018-07-31,Grade 7,Poblacion National High School,Maligaya,71.0,68.0,70.0,0.98
STU-300756,Kristina West,2009-07-18,Grade 1,Poblacion National High School,San Jose,85.0,80.0,74.0,0.85
STU-300758,Janet Cooke,2017-02-05,Grade 4,Rizal Elementary School,Sta. Cruz,74.0,70.0,76.0,0.9
STU-300719,April Herrera,2017-01-21,Grade 2,Poblacion National High School,Rizal,84.0,83.0,64.0,0.88
STU-300065,Gregory Fuller,2012-10-08,Grade 2,Mabini Integrated School,Magsaysay,46.0,84.0,83.0,0.9
STU-300418,Lori Reid,2016-05-30,Grade 8,Rizal Elementary School,Bagong Silang,76.0,63.0,68.0,0.98
STU-300163,Lori Anderson,2009-03-30,Grade 1,Rizal Elementary School,Bagong Silang,57.0,67.0,100.0,1.0
STU-300263,James Brown,2016-10-02,Grade 7,San Isidro Elementary School,Magsaysay,94.0,83.0,95.0,0.91
STU-300231,Katie Duarte,2006-01-02,Grade 5,Mabini Integrated School,Bayanihan,80.0,81.0,65.0,0.92
STU-300560,Kellie Moyer,2018-05-07,Grade 3,Mabini Integrated School,Sta. Cruz,92.0,95.0,83.0,0.89
STU-300235,Maureen Andrews,2005-07-07,Grade 10,Mabini Integrated School,San Miguel,,,,
STU-300491,Jennifer Hutchinson,2021-04-18,Grade 10,Poblacion National High School,San Miguel,75.0,91.0,87.0,1.0
STU-300175,Bruce Watson,2015-04-22,Grade 2,Poblacion National High School,San Jose,78.0,96.0,90.0,0.96
STU-300806,Jonathan Paul,2012-03-13,Grade 7,Poblacion National High School,Mabini,73.0,76.0,89.0,0.99
STU-300860,Melissa Escobar,2016-03-27,Grade 8,Mabini Integrated School,San Isidro,73.0,69.0,76.0,1.0
STU-300071,Ian Woods,2007-04-12,Grade 9,Rizal Elementary School,Del Pilar,66.0,83.0,80.0,0.94
STU-300125,Monica Higgins,2014-03-25,Grade 8,Mabini Integrated School,Magsaysay,73.0,69.0,81.0,0.92
STU-300089,Savannah Burke,2018-03-28,Grade 4,Poblacion National High School,San Jose,75.0,78.0,70.0,0.94
STU-300117,Susan Cummings,2012-04-24,Grade 10,Poblacion National High School,San Jose,78.0,77.0,75.0,0.88
STU-300321,Diana Williams,2017-05-28,Grade 1,Mabini Integrated School,Rizal,100.0,90.0,78.0,0.91
STU-300632,Joshua Wilson,2013-05-22,Grade 9,San Isidro Elementary School,Del Pilar,86.0,76.0,82.0,0.9
STU-300971,Angel Gates,2011-01-06,Grade 9,San Isidro Elementary School,San Jose,67.0,80.0,75.0,0.91
STU-300547,Sean Haynes,2020-07-28,Grade 5,Rizal Elementary School,San Jose,87.0,93.0,78.0,0.78
STU-300061,Karen Smith,2009-10-23,Grade 1,San Isidro Elementary School,Bayanihan,63.0,89.0,85.0,0.89
STU-300714,Debbie Brown,2015-05-04,Grade 3,Rizal Elementary School,San Jose,84.0,89.0,62.0,0.96
STU-300186,Brittany Baker,2007-02-04,Grade 8,San Isidro Elementary School,Maligaya,74.0,73.0,77.0,0.92
STU-300680,Stephanie Hughes,2011-02-16,Grade 7,Poblacion National High School,Maligaya,82.0,78.0,84.0,0.84
STU-300401,Kimberly Schaefer,2013-07-29,Grade 7,Mabini Integrated School,Rizal,74.0,82.0,66.0,0.86
STU-300232,Richard French,2007-08-08,Grade 1,Poblacion National High School,Del Pilar,88.0,74.0,81.0,0.85
STU-300562,Rebecca Shannon,2018-04-15,Grade 2,Poblacion National High School,Magsaysay,91.0,79.0,94.0,0.91
STU-300072,Jacob Guerrero,2019-10-04,Grade 4,San Isidro Elementary School,San Miguel,70.0,71.0,80.0,0.87
STU-300477,Mark Garrison,2013-03-05,Grade 7,San Isidro Elementary School,Mabini,94.0,78.0,70.0,0.88
STU-300270,Mark Martin,2015-08-28,Grade 6,Poblacion National High School,Rizal,85.0,71.0,100.0,0.97
STU-300111,Angela Goodwin,2010-08-21,Grade 7,San Isidro Elementary School,Bagong Silang,92.0,96.0,86.0,1.0
STU-300469,Jennifer Bradford,2015-02-26,Grade 4,San Isidro Elementary School,Poblacion,69.0,97.0,88.0,0.86
STU-300514,Jamie George,2014-09-05,Grade 1,Poblacion National High School,Magsaysay,58.0,88.0,78.0,0.89
STU-300497,Cynthia Smith,2020-11-13,Grade 2,Rizal Elementary School,Mabini,65.0,93.0,65.0,0.99
STU-300226,Michelle Pena,2007-01-09,Grade 6,San Isidro Elementary School,Magsaysay,66.0,78.0,82.0,0.95
STU-300329,Joel Anderson,2009-09-18,Grade 5,Poblacion National High School,Del Pilar,88.0,87.0,87.0,0.88
STU-300561,Kayla Johnson,2009-05-19,Grade 6,Poblacion National High School,San Miguel,61.0,74.0,73.0,1.0
STU-300426,Wayne Wallace,2020-08-20,Grade 8,San Isidro Elementary School,San Isidro,63.0,71.0,94.0,0.89
STU-300195,Tammy Hebert MD,2007-08-06,Grade 2,Rizal Elementary School,Magsaysay,85.0,100.0,80.0,0.99
STU-300336,Angela Washington,2006-06-09,Grade 1,San Isidro Elementary School,Mabini,79.0,86.0,64.0,0.93
STU-300653,Brian Brown,2020-12-28,Grade 1,San Isidro Elementary School,Mabini,95.0,78.0,67.0,0.93
STU-300778,Adam Mitchell,2013-10-13,Grade 1,San Isidro Elementary School,San Miguel,89.0,99.0,72.0,0.94
STU-300028,Kathleen Marshall,2021-03-11,Grade 4,Rizal Elementary School,Mabini,100.0,74.0,73.0,0.92
STU-300586,Mr. Bryan Ruiz Jr.,2015-10-16,Grade 7,Rizal Elementary School,Del Pilar,81.0,100.0,52.0,0.96
STU-300473,Heather Harding,2011-01-27,Grade 6,San Isidro Elementary School,Poblacion,87.0,71.0,84.0,0.93
STU-300501,Eric Andrade,2017-07-08,Grade 10,Rizal Elementary School,Bayanihan,77.0,95.0,72.0,0.9
STU-300137,Sarah Ramirez,2019-05-26,Grade 5,Poblacion National High School,Mabini,86.0,91.0,94.0,0.88
STU-300553,Fred Phelps,2006-12-25,Grade 6,Poblacion National High School,Sta. Cruz,75.0,58.0,66.0,0.86
STU-300986,Sean Wilson,2010-10-03,Grade 2,Mabini Integrated School,Rizal,,,,
STU-300944,Alicia Austin,2010-10-16,Grade 4,Mabini Integrated School,Magsaysay,59.0,82.0,80.0,0.88
STU-300393,Lauren Johnson,2018-12-22,Grade 8,Mabini Integrated School,Bayanihan,87.0,78.0,60.0,0.86
STU-300382,Alice Figueroa,2011-05-25,Grade 5,Mabini Integrated School,Maligaya,60.0,71.0,77.0,0.86
STU-300271,Brenda Carter,2013-12-10,Grade 1,Mabini Integrated School,San Jose,68.0,75.0,74.0,1.0
STU-300778,Adam Mitchell,2013-10-13,Grade 1,San Isidro Elementary School,San Miguel,89.0,99.0,72.0,0.94
STU-300669,Marcus Shepherd,2020-09-24,Grade 4,Rizal Elementary School,Poblacion,84.0,81.0,94.0,0.89
STU-300465,Angela Smith,2014-08-14,Grade 8,San Isidro Elementary School,Maligaya,88.0,88.0,69.0,0.88
STU-300648,Brittany Hunt,2006-08-21,Grade 9,San Isidro Elementary School,San Jose,100.0,87.0,72.0,1.0
STU-300480,Miguel Bentley,2005-06-19,Grade 3,Mabini Integrated School,Maligaya,71.0,78.0,94.0,0.84
STU-300328,David Pittman,2019-02-27,Grade 9,Poblacion National High School,San Jose,,,,
STU-300012,Sharon Bond,2009-09-08,Grade 5,Mabini Integrated School,Bayanihan,73.0,82.0,75.0,0.94
STU-300602,Lee Fuller,2006-07-10,Grade 2,Mabini Integrated School,Del Pilar,81.0,75.0,81.0,0.84
